"No.","Time","Source","Destination","Protocol","Length","TCP Segment Len","Info"
"161","0.988666","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"162","0.988666","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"163","0.989013","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e1a) [Reassembled in #164]"
"164","0.989013","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"165","0.989132","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e1c) [Reassembled in #166]"
"166","0.989132","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"167","0.989177","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e1e) [Reassembled in #168]"
"168","0.989177","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"169","0.989225","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e20) [Reassembled in #170]"
"170","0.989225","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"171","0.989271","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e22) [Reassembled in #172]"
"172","0.989271","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"173","0.989323","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e24) [Reassembled in #174]"
"174","0.989323","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"175","0.989366","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e26) [Reassembled in #176]"
"176","0.989366","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"177","0.989412","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e28) [Reassembled in #178]"
"178","0.989412","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"179","0.989461","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e2a) [Reassembled in #180]"
